X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,log_area
7,5,-0.805959472,-1.323325569,-1.830476763,-0.860945568,-1.842640147,0.411724347,1.498614417,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,4,-0.008102034,-1.179540772,0.488890915,-0.509688269,-0.153278265,-0.69245628,-1.741755637,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,4,-0.008102034,-1.04982188,0.560715454,-0.509688269,-0.739383408,-0.69245628,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8,6,0.191362326,-1.212361215,-1.898266215,-0.004755902,-1.82540176,3.233519283,-0.009833712,0.603155191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,6,-0.243832641,-0.931043135,-1.79859958,0.126965586,-1.291011777,3.35620602,-1.238939594,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,6,0.300161067,-0.399664539,-0.241863237,1.246598226,0.57073397,-0.937829753,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,0.300161067,-0.343400923,-0.21119658,-0.114523807,0.898263315,-1.060516489,-0.512649754,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,6,0.155096078,0.539625272,0.243154152,0.368454979,-1.87711692,2.558742233,-1.015465797,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,6,0.06443046,0.291127635,0.583715446,-0.443827525,-0.997959206,1.147844765,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,5,0.336427315,-0.357466827,0.607925965,-0.421873944,0.674164289,-0.263052703,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,5,0.336427315,-0.357466827,0.607925965,-0.421873944,-0.187755038,0.411724347,1.777956663,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,5,0.390826685,-0.588772804,0.66603121,2.980931139,0.07082076,-0.385739439,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,5,-4.92217853,-0.626281882,0.473557587,-1.804949559,-0.32566213,1.699935079,1.498614417,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0.046297337,0.244241288,0.559101419,-0.443827525,0.415588491,-0.140365966,-1.015465797,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,5,0.408959809,0.350517007,0.611961051,0.039151261,1.294746205,-1.428576698,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,5,0.481492303,0.473984387,0.669662787,1.070969576,0.691402676,-0.01767923,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,0.191362326,-1.173289259,-1.88495043,-0.268198876,-0.653191475,-1.060516489,0.772324577,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,5,-1.041690079,-1.220175606,0.469118992,-1.321970773,-0.37737729,0.166350875,0.492982331,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,4,-0.261965764,-1.296756639,-1.925301294,-0.597502594,-0.515284382,-0.569769543,-0.009833712,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
